block_timestamp,transaction_hash,block_number,transaction_index,log_index,gas_price_eth,trx_initiator,wallet,token_name,token0_in,token1_in,token0_out,token1_out,value
51:59.0,0x40b3b89e031d1ec7b582dc23cfa7d249915d71e9335518cc972cd165f6a7c661,16228412,119,275,0.002957868,0xab50cfb2f01e20897514d72ac50b3e3e7f28c8a6,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,11.5,,,10.0045997,21.5045997
58:11.0,0x4442cd6e0bebc141014abdd4bfc862cd321e0dca364dfdeae27886ac6d0f8b07,16239795,82,142,0.003223433,0x92891f12c9448fec7750aff2eb697a62b87659f8,0xc36442b4a4522e871399cd717abdd847ab11fe88,Collect,,,331.477643,324.3716316,655.8492746
58:11.0,0x4442cd6e0bebc141014abdd4bfc862cd321e0dca364dfdeae27886ac6d0f8b07,16239795,82,138,0.003223433,0x92891f12c9448fec7750aff2eb697a62b87659f8,0xc36442b4a4522e871399cd717abdd847ab11fe88,Burn (Remove),,,331.417721,324.2520506,655.6697716
13:47.0,0xaba2d64fa7ae7e143eee44703c9dcc672f05e18fb2f83a0bfa167a1e8d3abd4b,16277801,75,139,0.009887715,0x92891f12c9448fec7750aff2eb697a62b87659f8,0xc36442b4a4522e871399cd717abdd847ab11fe88,Increase liquidity,42.30861,271.5613438,,,313.8699538
15:11.0,0x273844d93434a338f7480cc8e2273585b1e33d9c5d7ee8bedda45d4b8cb8589f,16277210,121,231,0.00309848,0x565db65c01dd476ef655cffb97d3d3e5c79562e0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,8.468163,,,7.292452619,15.76061562
00:11.0,0xfb11790cbfc36c0d8c57bb3aeb59b6db1c84919f757bffa9acbb34c071949e95,16165503,178,346,0.00334987,0x29998fa59d5da4e71678236e0cf0f8b6fa7faf62,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,5.914997,,,5,10.914997
09:47.0,0xcf3f81b5e20baf0a73982c337890f67695f5c7e6343b62ea4e94824ef5dd5fa3,16461651,53,74,0.002859508,0x4d93c323b2687f499d2c5a3e0ba0b7d4647cb2ca,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,Swap,16.04072,,,14.07854116,30.11926116
54:59.0,0x13a0e6c5d45b9b9a76b17354f09ac706a27c010b4a7507a49c5ee9f67b6e1e13,16473816,77,120,0.003460042,0xbff392cd252a3c337ef29cebd89ee5b3b6f9f594,0xc36442b4a4522e871399cd717abdd847ab11fe88,Collect,,,265.043365,253.0241899,518.0675549
54:59.0,0x13a0e6c5d45b9b9a76b17354f09ac706a27c010b4a7507a49c5ee9f67b6e1e13,16473816,77,116,0.003460042,0xbff392cd252a3c337ef29cebd89ee5b3b6f9f594,0xc36442b4a4522e871399cd717abdd847ab11fe88,Burn (Remove),,,265.042187,253.0241899,518.0663769
37:23.0,0xad640157b7da78f0952a7fa315e4f5d91ad8bdfd47790504a04363ee39e6969c,16155544,71,152,0.005997818,0x1b47434a13d8fcd30261f49c54d031bf9e4c1e91,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,25.505853,,,20.98961725,46.49547025
58:59.0,0x70ee30cd70b3e5c570e39ead0791d65df9dab316d8c9cd91838ce717cfa8bfe6,16260720,23,27,0.003040703,0x84e770cf8914dc1336b13898131c804a90d68501,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,209.952987,,,183.3884824,393.3414694
49:11.0,0x1aefcb25cedddaf98a34e1e5ad8f1601c459c3b570fa11b179f002d1b6413f28,16473490,53,120,0.003055799,0x14bdfda5b5b829f14332a52c15129386284ce36a,0xc36442b4a4522e871399cd717abdd847ab11fe88,Burn (Remove),,,0,1916.242271,1916.242271
49:11.0,0x1aefcb25cedddaf98a34e1e5ad8f1601c459c3b570fa11b179f002d1b6413f28,16473490,53,124,0.003055799,0x14bdfda5b5b829f14332a52c15129386284ce36a,0xc36442b4a4522e871399cd717abdd847ab11fe88,Collect,,,6.796373,1923.518915,1930.315288
25:23.0,0x814d4a4cacb5e3b65eaa43e49f306bd663fe4138b90736040d5906e73c231576,16473072,6,22,0.002986889,0x27d876a74b9a4b58b90c638da09fe0c358c38975,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,Swap,11403.20507,,,10000,21403.20507
28:59.0,0x00174fa9503c3cf1b0112e596833e34bfd6df6395d0cdeffe1713f60196513d3,16268335,91,160,0.001850969,0xdb4d9a61b5931557d8d77def0d20a46a34088ba1,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Swap,3085.952745,,,2660.591424,5746.544169
